AccX,AccY,AccZ,AngX,AngY,AngZ,class
0.16,-0.05,0.96,-2.94,-9.17,0.0,Parado
0.16,-0.05,0.96,-3.0,-9.16,0.02,Parado
0.15,-0.05,0.97,-3.08,-9.14,0.02,Parado
0.16,-0.05,0.96,-3.15,-9.12,0.03,Parado
0.15,-0.05,0.96,-3.23,-9.09,0.03,Parado
0.15,-0.06,0.96,-3.29,-9.08,0.04,Parado
0.15,-0.05,0.96,-3.35,-9.04,0.04,Parado
0.15,-0.05,0.96,-3.41,-9.02,0.05,Parado
0.16,-0.05,0.97,-3.46,-9.0,0.06,Parado
0.15,-0.05,0.96,-3.53,-8.99,0.07,Parado
0.16,-0.06,0.95,-3.6,-8.97,0.08,Parado
0.16,-0.05,0.97,-3.66,-9.0,0.08,Parado
0.15,-0.05,0.94,-3.68,-9.02,0.1,Parado
0.16,-0.04,0.97,-3.58,-9.07,0.18,Parado
0.15,-0.05,0.99,-3.55,-9.08,0.32,Parado
0.1,-0.01,1.02,-3.78,-8.11,1.83,VibracaoX
0.17,-0.07,0.93,-3.75,-8.86,1.66,VibracaoX
0.21,-0.03,0.94,-3.19,-8.75,1.58,VibracaoX
-0.1,0.1,1.07,-1.72,-6.92,1.34,VibracaoX
-0.0,-0.1,1.21,-3.77,-4.06,1.4,VibracaoX
0.2,-0.23,1.08,-8.0,-4.67,2.72,VibracaoX
-0.02,-0.14,0.99,-6.26,-2.53,2.64,VibracaoX
-0.03,-0.09,1.33,-3.73,-2.41,2.11,VibracaoX
-0.07,-0.08,0.97,-3.08,-0.11,3.44,VibracaoX
-0.02,-0.05,0.98,-0.73,1.09,2.59,VibracaoX
-0.01,-0.03,1.23,-0.47,2.19,2.35,VibracaoX
0.05,-0.02,0.84,-0.57,1.19,3.3,VibracaoX
-0.02,-0.01,0.85,1.07,3.75,3.1,VibracaoX
-0.16,0.03,0.51,3.32,6.38,2.39,VibracaoX
-0.18,0.02,0.8,2.46,6.25,1.18,VibracaoX
-0.25,0.15,0.68,4.44,3.42,1.81,VibracaoX
0.11,0.12,0.63,3.54,3.16,5.15,VibracaoX
0.48,0.18,1.01,1.67,2.91,6.02,VibracaoX
0.92,-0.38,1.33,-1.61,2.18,4.79,VibracaoX
-0.37,-0.1,0.57,-0.4,5.43,-3.74,VibracaoX
-1.63,0.03,1.05,-3.38,4.99,-6.13,VibracaoX
-1.97,0.23,0.75,-0.06,2.28,1.86,VibracaoX
1.39,-0.29,0.22,0.73,-1.72,12.58,VibracaoX
2.8,-0.62,1.29,-0.12,4.85,10.2,VibracaoX
0.12,-0.27,0.41,-2.48,8.44,-2.38,VibracaoX
-3.09,-0.19,1.61,-5.13,8.45,-2.22,VibracaoX
-1.69,-0.09,0.38,-1.76,2.78,7.92,VibracaoX
3.5,-0.28,0.99,-2.32,3.77,15.85,VibracaoX
2.14,-0.27,0.77,-3.0,7.55,5.41,VibracaoX
-2.79,-0.2,1.19,-4.12,13.01,0.4,VibracaoX
-2.73,0.02,0.79,-0.23,9.84,6.92,VibracaoX
2.54,-0.3,0.04,-0.48,5.12,17.04,VibracaoX
2.95,-0.61,1.26,1.31,6.69,8.37,VibracaoX
-3.22,-0.17,1.13,-0.0,18.07,1.46,VibracaoX
-2.67,0.24,0.05,3.92,13.66,10.02,VibracaoX
3.85,-0.49,0.68,0.04,4.35,18.67,VibracaoX
1.53,-0.2,0.27,-1.47,11.17,8.12,VibracaoX
-3.42,-0.07,1.82,-0.3,14.53,7.16,VibracaoX
-1.0,0.01,-0.07,2.08,5.83,17.4,VibracaoX
4.42,-0.53,1.02,3.71,9.79,18.2,VibracaoX
