AccX,AccY,AccZ,AngX,AngY,AngZ
0.16,-0.05,0.96,-2.94,-9.17,0.00
0.16,-0.05,0.96,-3.00,-9.16,0.02
0.15,-0.05,0.97,-3.08,-9.14,0.02
0.16,-0.05,0.96,-3.15,-9.12,0.03
0.15,-0.05,0.96,-3.23,-9.09,0.03
0.15,-0.06,0.96,-3.29,-9.08,0.04
0.15,-0.05,0.96,-3.35,-9.04,0.04
0.15,-0.05,0.96,-3.41,-9.02,0.05
0.16,-0.05,0.97,-3.46,-9.00,0.06
0.15,-0.05,0.96,-3.53,-8.99,0.07
0.16,-0.06,0.95,-3.60,-8.97,0.08
0.16,-0.05,0.97,-3.66,-9.00,0.08
0.15,-0.05,0.94,-3.68,-9.02,0.10
0.16,-0.04,0.97,-3.58,-9.07,0.18
0.15,-0.05,0.99,-3.55,-9.08,0.32
0.10,-0.01,1.02,-3.78,-8.11,1.83
0.17,-0.07,0.93,-3.75,-8.86,1.66
0.21,-0.03,0.94,-3.19,-8.75,1.58
-0.10,0.10,1.07,-1.72,-6.92,1.34
-0.00,-0.10,1.21,-3.77,-4.06,1.40
0.20,-0.23,1.08,-8.00,-4.67,2.72
-0.02,-0.14,0.99,-6.26,-2.53,2.64
-0.03,-0.09,1.33,-3.73,-2.41,2.11
-0.07,-0.08,0.97,-3.08,-0.11,3.44
-0.02,-0.05,0.98,-0.73,1.09,2.59
-0.01,-0.03,1.23,-0.47,2.19,2.35
0.05,-0.02,0.84,-0.57,1.19,3.30
-0.02,-0.01,0.85,1.07,3.75,3.10
-0.16,0.03,0.51,3.32,6.38,2.39
-0.18,0.02,0.80,2.46,6.25,1.18
-0.25,0.15,0.68,4.44,3.42,1.81
0.11,0.12,0.63,3.54,3.16,5.15
0.48,0.18,1.01,1.67,2.91,6.02
0.92,-0.38,1.33,-1.61,2.18,4.79
-0.37,-0.10,0.57,-0.40,5.43,-3.74
-1.63,0.03,1.05,-3.38,4.99,-6.13
-1.97,0.23,0.75,-0.06,2.28,1.86
1.39,-0.29,0.22,0.73,-1.72,12.58
2.80,-0.62,1.29,-0.12,4.85,10.20
0.12,-0.27,0.41,-2.48,8.44,-2.38
-3.09,-0.19,1.61,-5.13,8.45,-2.22
-1.69,-0.09,0.38,-1.76,2.78,7.92
3.50,-0.28,0.99,-2.32,3.77,15.85
2.14,-0.27,0.77,-3.00,7.55,5.41
-2.79,-0.20,1.19,-4.12,13.01,0.40
-2.73,0.02,0.79,-0.23,9.84,6.92
2.54,-0.30,0.04,-0.48,5.12,17.04
2.95,-0.61,1.26,1.31,6.69,8.37
-3.22,-0.17,1.13,-0.00,18.07,1.46
-2.67,0.24,0.05,3.92,13.66,10.02
3.85,-0.49,0.68,0.04,4.35,18.67
1.53,-0.20,0.27,-1.47,11.17,8.12
-3.42,-0.07,1.82,-0.30,14.53,7.16
-1.00,0.01,-0.07,2.08,5.83,17.40
4.42,-0.53,1.02,3.71,9.79,18.20
-1.46,-0.40,0.66,0.40,25.74,4.30
-3.74,0.30,0.32,4.98,18.89,9.89
2.87,-0.70,0.43,1.75,5.95,21.29
2.48,-0.32,0.30,1.70,16.77,8.30
-4.86,-0.31,1.71,3.40,22.55,4.87
-1.54,-0.04,-0.55,-0.60,7.35,18.46
5.74,-0.77,1.17,0.29,9.02,17.39
-1.76,-0.71,0.22,-1.47,29.31,0.04
-4.98,0.20,0.10,2.44,19.56,9.92
5.54,-0.73,-0.24,-5.18,3.76,21.13
1.04,-0.91,0.00,-5.05,26.14,1.85
-6.10,0.32,0.44,-0.95,15.82,6.50
5.11,-1.07,-0.17,-6.76,-6.86,24.58
1.60,-1.18,0.47,-7.43,19.00,5.32
-7.25,0.18,1.20,-2.13,10.48,12.67
6.78,-1.24,-0.30,-8.73,-5.50,32.27
1.50,-1.58,0.39,-7.81,24.18,10.89
-6.58,0.28,0.42,-4.04,9.97,17.63
6.94,-0.42,0.30,-5.55,-4.71,31.12
-2.35,-1.60,0.25,-8.11,22.03,9.78
-5.01,-0.33,0.52,-6.09,1.77,24.06
10.01,0.12,-1.58,-3.71,3.86,20.02
-7.40,-1.02,0.93,-4.64,23.16,6.86
-2.44,-1.05,-0.69,-6.97,-3.14,24.88
6.26,-0.84,-0.39,-15.40,16.32,10.53
-7.12,0.03,1.51,-12.29,17.07,12.07
5.35,-0.55,-0.70,-16.55,4.29,28.81
-0.32,-1.87,0.51,-19.01,28.54,7.32
-5.59,-0.31,1.13,-13.36,16.19,18.00
8.51,0.25,-1.08,-11.89,10.33,20.32
-6.62,-1.00,1.31,-13.03,20.05,6.15
-0.63,-1.37,-0.08,-10.68,4.68,28.04
4.73,-1.48,-0.15,-21.53,22.24,8.64
-8.63,-0.06,1.32,-18.53,22.63,11.69
7.05,-0.54,-1.87,-20.84,8.19,31.11
-2.20,-2.43,0.18,-28.37,31.27,6.25
-5.21,-0.89,1.00,-19.19,13.85,22.27
9.14,0.45,-1.19,-20.56,27.15,15.50
-7.99,-1.12,3.58,-20.99,29.87,15.02
6.19,-0.03,-1.75,-17.88,23.18,33.51
-2.59,-1.60,0.72,-21.27,35.75,14.35
-1.14,-0.03,0.72,-17.81,28.36,21.05
1.52,0.14,0.46,-18.37,33.42,19.89
-1.15,-0.27,1.74,-15.97,32.13,20.46
0.46,0.27,0.38,-14.37,30.84,22.42
-0.11,-0.11,1.23,-13.99,33.65,22.39
-0.25,0.05,0.88,-13.89,33.42,22.63
0.09,0.05,1.02,-13.51,34.39,23.21
-0.25,0.06,0.80,-13.21,33.13,23.74
-0.02,-0.08,1.17,-13.69,34.79,23.71
-0.02,0.00,0.96,-13.77,31.86,22.59
-0.25,0.07,0.78,-13.55,32.86,22.26
-0.19,-0.05,1.20,-14.54,31.70,22.92
0.02,-0.05,1.15,-13.34,31.16,23.99
0.04,0.10,0.83,-12.54,29.65,23.51
-0.16,0.03,0.89,-11.66,27.86,23.37
-0.04,0.00,0.74,-11.68,25.98,23.18
-0.10,-0.04,1.01,-11.49,26.19,23.34
-0.18,0.02,1.00,-11.12,25.34,23.32
0.09,0.07,0.92,-10.97,24.28,23.62
-0.10,-0.01,1.05,-10.77,23.56,23.62
0.01,0.02,0.98,-10.90,23.61,23.56
-0.11,-0.02,1.04,-10.51,23.66,23.50
-0.02,0.06,0.90,-10.27,22.42,23.53
-0.02,-0.03,1.07,-9.90,21.78,23.63
-0.04,0.04,0.94,-10.07,21.64,23.74
-0.01,0.01,1.04,-9.84,20.87,23.86
-0.04,0.07,0.86,-9.73,20.78,23.94
-0.02,-0.00,1.02,-9.64,20.21,23.91
-0.02,0.06,0.89,-9.62,20.11,24.03
-0.02,0.02,0.91,-9.49,19.43,24.03
-0.06,0.04,0.90,-9.14,19.60,24.23
-0.01,0.00,0.86,-9.50,18.52,23.72
0.02,-0.01,0.94,-9.46,18.56,23.35
-0.16,-0.05,1.04,-9.81,18.28,23.28
-0.09,0.06,0.75,-10.57,15.56,22.83
0.12,-0.13,1.01,-11.10,12.34,22.86
0.14,-0.09,1.09,-12.22,14.49,23.36
-0.09,-0.14,1.09,-13.42,14.95,23.30
-0.02,0.09,0.66,-13.97,13.76,23.19
0.02,-0.14,1.10,-16.50,13.13,23.78
0.14,-0.13,1.28,-16.73,13.08,24.32
0.06,-0.25,1.11,-16.81,13.06,23.53
-0.06,-0.08,0.61,-18.48,11.47,22.86
0.15,-0.26,1.22,-19.29,11.96,22.89
0.08,-0.13,0.99,-19.96,13.73,22.94
0.05,-0.28,1.02,-20.77,19.15,23.29
-0.25,-0.10,0.70,-19.96,20.87,22.62
-0.16,-0.18,0.97,-21.08,22.96,23.18
-0.07,-0.22,1.07,-21.37,24.22,23.79
-0.37,-0.20,0.64,-21.26,24.91,22.58
-0.15,-0.21,1.23,-23.09,27.10,24.47
0.12,-0.22,1.31,-27.29,25.50,27.40
-0.32,-0.31,1.07,-27.12,28.24,26.97
-0.28,-0.31,0.81,-28.08,29.74,26.44
-0.38,-0.31,0.90,-28.61,30.97,26.41
-0.28,-0.38,0.78,-32.12,31.90,25.95
-0.23,-0.35,0.82,-32.75,29.45,27.07
-0.27,-0.39,0.87,-34.46,28.16,27.66
-0.39,-0.44,0.88,-34.88,27.66,27.40
-0.35,-0.55,0.99,-36.03,26.73,28.02
-0.23,-0.43,0.78,-38.42,21.85,28.11
-0.11,-0.50,0.80,-37.89,20.68,27.42
-0.17,-0.59,0.92,-38.26,20.34,27.37
-0.08,-0.41,0.72,-39.11,19.32,26.75
-0.16,-0.55,0.82,-39.90,17.34,26.17
-0.17,-0.57,0.86,-41.56,15.07,24.66
-0.21,-0.85,1.35,-39.81,10.71,21.13
0.02,-0.49,0.71,-38.27,10.65,22.00
-0.15,-0.55,0.96,-36.47,8.47,21.23
0.07,-0.51,0.96,-33.11,8.21,21.75
0.19,-0.70,0.97,-32.15,6.47,21.87
0.10,-0.46,1.03,-27.84,2.11,20.01
0.27,-0.37,1.07,-24.92,3.98,20.76
0.01,-0.21,0.88,-19.05,3.58,17.51
0.15,-0.14,0.84,-17.12,5.40,18.10
0.04,-0.14,0.78,-14.71,4.81,16.20
0.03,-0.01,0.62,-12.39,7.91,15.86
0.13,-0.30,0.99,-13.79,5.02,15.34
-0.02,0.10,0.52,-10.59,6.46,15.45
0.30,-0.24,1.12,-10.66,4.94,16.10
0.13,-0.04,0.89,-10.70,3.39,16.93
0.31,-0.29,1.17,-9.74,6.03,17.94
0.08,0.01,0.85,-9.00,6.01,17.95
0.04,-0.04,0.87,-7.16,8.89,18.78
0.06,-0.05,0.95,-6.94,8.20,18.42
0.02,-0.01,0.86,-3.70,13.54,19.17
0.08,-0.07,0.98,-5.33,14.83,18.96
0.00,0.05,0.90,-4.47,16.20,18.94
-0.09,-0.13,1.09,-5.77,15.60,18.78
-0.04,0.00,0.92,-5.94,16.29,18.75
-0.05,-0.08,1.02,-5.93,16.93,18.98
-0.11,-0.02,0.98,-5.73,16.26,18.74
-0.05,-0.09,1.02,-5.87,16.37,19.01
-0.11,0.04,0.83,-6.09,15.03,18.62
-0.10,-0.15,1.12,-5.83,14.27,18.72
-0.03,0.04,0.85,-6.58,13.53,18.76
0.01,-0.05,0.99,-6.17,13.29,18.99
-0.07,-0.03,0.95,-6.62,12.64,18.76
-0.06,-0.12,1.14,-5.59,12.96,18.94
-0.05,-0.02,0.94,-6.29,14.36,19.71
-0.04,-0.04,0.94,-5.87,12.65,19.35
-0.11,-0.16,1.13,-6.84,11.20,18.97
0.75,-0.17,1.19,-5.98,5.97,19.04
1.01,-0.05,0.49,-8.16,4.10,11.46
-3.57,-0.29,1.68,-6.02,11.40,13.51
-0.73,-0.19,0.40,-1.90,-3.03,21.84
4.74,-0.28,0.26,-0.77,1.04,24.76
-0.98,-0.46,0.75,-7.64,13.05,13.61
-4.48,0.26,1.37,2.04,9.65,21.98
4.90,-0.24,-1.10,3.03,-6.00,32.72
1.77,-0.99,-0.71,-3.80,9.52,15.18
-5.97,-0.04,2.44,1.34,7.87,19.80
2.71,-0.77,-0.93,7.00,-8.60,31.59
2.35,-1.07,-0.65,0.66,0.97,14.97
-5.46,0.05,2.55,3.36,-0.81,17.66
3.68,-0.97,-0.30,7.24,-11.44,34.02
2.23,-0.94,-0.54,-1.23,-4.19,15.88
-5.58,0.65,2.78,5.82,-0.52,17.47
2.95,-1.43,0.11,12.12,-17.54,30.40
2.09,-1.04,-0.42,3.68,-6.71,12.98
-5.93,0.72,2.46,8.14,-1.20,13.69
2.72,-1.52,0.38,9.52,-21.36,24.62
3.03,-0.83,-1.02,2.47,-4.85,5.47
-7.79,0.63,2.00,4.42,-5.69,5.99
2.23,-1.97,0.38,7.70,-32.42,21.04
4.35,-1.41,-0.78,1.88,-11.68,2.63
-7.73,0.65,2.03,2.36,-20.14,3.02
3.00,-2.17,-0.01,3.60,-46.00,17.30
3.59,-1.26,-1.08,-4.45,-26.91,-2.81
-7.84,0.61,1.67,0.58,-29.35,-0.15
2.30,-2.59,0.68,6.01,-64.13,13.71
5.02,-1.45,-2.24,-0.87,-41.45,-7.71
-8.12,0.03,2.68,1.53,-48.79,-7.97
2.62,-2.18,-0.04,6.78,-73.88,8.68
3.59,-1.39,-1.09,-1.54,-53.60,-9.53
-7.98,0.34,2.76,3.37,-57.35,-5.52
4.65,-2.26,-0.24,7.17,-80.02,14.47
2.67,-1.18,-1.45,-3.84,-60.97,-9.20
-7.63,0.32,2.33,6.45,-60.53,-3.24
4.84,-1.25,-1.32,11.47,-88.39,14.76
2.21,-1.19,-1.43,2.04,-58.08,-9.45
-7.66,0.44,1.69,8.22,-75.23,-3.32
7.99,-0.65,-2.66,13.83,-91.45,12.63
-1.48,-1.19,-0.58,3.46,-63.69,-12.95
-6.27,0.12,1.66,11.45,-77.04,-2.94
9.55,-0.24,-2.95,13.07,-72.00,7.95
-4.09,-1.43,0.23,1.10,-44.60,-20.03
-4.36,-0.11,0.47,12.47,-57.29,-8.01
8.79,-0.33,-2.06,10.08,-49.19,-2.87
-6.33,-1.01,2.10,-4.35,-35.98,-19.37
-2.88,-0.33,0.40,2.49,-49.62,-5.37
8.20,-1.17,-0.76,-2.14,-29.60,-10.72
-6.51,-0.21,1.90,-14.91,-23.38,-20.58
-0.41,-0.89,-0.03,-8.43,-37.92,-4.75
3.94,-0.81,-0.19,-15.30,-20.02,-13.99
-3.72,0.23,2.18,-21.82,-31.11,-15.30
1.01,-0.24,0.37,-20.78,-36.62,-8.35
1.22,-0.14,0.96,-21.32,-29.48,-10.03
-1.01,-0.08,1.40,-20.98,-32.62,-11.87
0.16,0.07,0.83,-19.95,-32.78,-10.90
0.11,-0.01,0.87,-19.81,-29.47,-11.04
-0.04,-0.03,1.09,-20.50,-28.42,-13.75
0.01,-0.02,1.04,-20.33,-28.37,-14.00
0.07,-0.05,0.97,-19.96,-29.41,-13.90
0.25,-0.08,1.05,-19.72,-29.87,-13.99
-0.01,0.00,0.99,-18.83,-28.52,-14.40
-0.05,0.04,0.91,-18.82,-29.48,-14.56
0.16,-0.03,1.00,-17.24,-28.83,-14.31
0.10,-0.05,1.00,-17.61,-28.25,-14.46
0.10,0.05,0.88,-17.07,-27.85,-14.60
0.05,-0.05,1.01,-17.50,-26.91,-14.14
0.13,0.01,0.98,-16.88,-25.55,-12.89
