AccX,AccY,AccZ,AngX,AngY,AngZ,class
-0.83,-0.28,0.42,-17.33,59.99,-0.04,Noise
-0.82,-0.27,0.43,-17.65,59.5,-0.04,Noise
-0.8,-0.27,0.42,-17.72,60.07,-0.04,Noise
-0.83,-0.26,0.42,-17.59,60.92,-0.11,Noise
-0.84,-0.26,0.4,-17.59,61.04,-0.1,Noise
-0.83,-0.26,0.41,-17.8,60.64,-0.15,Noise
-0.83,-0.27,0.41,-17.89,60.68,-0.16,Noise
-0.84,-0.27,0.41,-17.96,60.54,-0.17,Noise
-0.44,-0.22,0.41,-18.15,61.13,-1.38,Noise
-0.74,-0.26,0.43,-2.63,69.24,-3.69,Noise
-0.91,-0.16,0.43,5.47,72.06,-7.82,Noise
-1.18,0.12,-0.03,15.48,68.44,-15.67,Noise
-0.54,-0.29,1.07,18.29,69.44,-18.82,Noise
-0.76,-0.31,0.52,20.21,64.22,-19.32,Noise
-0.74,-0.2,0.71,21.07,61.78,-18.12,Noise
-0.89,-0.21,0.67,21.24,57.15,-18.25,Noise
-0.4,-0.3,0.65,23.72,53.72,-18.58,Noise
-0.73,-0.55,0.78,22.95,52.02,-20.07,Noise
-0.7,-0.13,0.81,25.07,51.53,-15.98,Noise
-0.62,-0.19,0.78,25.02,49.43,-13.82,Noise
-0.65,-0.4,0.62,25.03,48.28,-14.07,Parado
-0.55,-0.07,0.87,25.01,47.65,-14.02,Parado
-0.57,-0.32,0.9,23.92,45.05,-16.45,Parado
-0.53,-0.13,0.91,23.97,44.17,-16.41,Parado
0.15,-0.0,0.38,24.8,44.26,-15.3,Parado
-0.35,0.01,0.79,25.1,43.16,-15.25,Parado
-0.5,-0.2,1.11,23.53,41.37,-16.2,Parado
-0.44,-0.25,0.97,21.87,40.76,-16.57,Parado
-0.69,-0.39,1.21,13.32,29.0,-19.81,Parado
-0.15,-0.25,0.62,12.92,19.88,-20.06,Parado
-0.17,-0.28,0.99,13.23,23.04,-20.9,Parado
-0.32,-0.2,1.06,15.73,23.18,-19.71,Parado
-0.09,-0.22,0.82,15.52,22.0,-19.39,Parado
-0.34,-0.17,1.15,17.59,19.99,-19.33,Parado
-0.07,-0.16,1.05,18.64,19.04,-18.99,Parado
-0.22,-0.1,0.59,19.35,19.54,-19.52,Parado
0.0,-0.19,0.89,16.7,14.96,-21.03,Parado
-0.15,-0.12,1.2,17.76,14.77,-20.39,Parado
-0.03,-0.06,0.92,16.53,15.71,-20.27,Parado
-0.04,-0.05,1.01,19.49,13.09,-19.97,Parado
0.05,-0.08,0.96,18.51,14.72,-20.44,CirculoZ
-0.12,-0.04,1.14,19.73,14.8,-20.96,CirculoZ
-0.08,-0.06,0.91,19.76,14.17,-21.59,CirculoZ
0.04,-0.05,0.91,18.26,14.19,-22.79,CirculoZ
-0.06,-0.06,0.76,18.58,13.25,-24.05,CirculoZ
0.1,-0.08,1.0,15.91,15.69,-25.02,CirculoZ
0.1,-0.1,0.65,17.37,13.49,-26.88,CirculoZ
-0.11,-0.01,1.16,14.82,13.94,-29.33,CirculoZ
-0.07,-0.1,1.18,15.24,10.09,-31.37,CirculoZ
-0.18,-0.03,1.03,15.17,9.32,-34.3,CirculoZ
-0.22,-0.03,1.26,16.15,6.92,-35.63,CirculoZ
-0.06,-0.04,0.99,15.61,7.3,-38.28,CirculoZ
-0.11,-0.1,1.19,17.92,8.08,-39.03,CirculoZ
-0.02,0.0,0.76,20.97,9.43,-39.63,CirculoZ
-0.17,0.04,1.17,22.93,9.66,-39.88,CirculoZ
-0.3,0.08,0.83,25.04,9.09,-40.01,CirculoZ
-0.2,0.0,1.03,25.05,9.86,-38.73,CirculoZ
-0.21,0.22,0.6,28.75,9.84,-37.18,CirculoZ
-0.03,0.1,0.91,28.08,11.51,-34.76,CirculoZ
-0.14,0.23,0.58,30.28,13.8,-31.15,CirculoZ
-0.02,0.17,0.65,29.79,14.04,-28.7,CirculoZ
0.05,0.21,0.9,29.97,14.71,-25.35,CirculoZ
-0.07,0.26,0.37,28.11,15.58,-21.59,CirculoZ
0.11,0.11,1.16,25.85,13.82,-19.22,CirculoZ
0.24,0.13,0.79,23.18,15.37,-15.69,CirculoZ
0.16,0.15,0.82,21.5,14.4,-15.03,CirculoZ
0.03,0.0,0.93,18.58,14.24,-12.98,CirculoZ
0.17,0.02,1.03,16.4,15.31,-11.72,CirculoZ
0.08,0.07,0.94,14.66,15.83,-10.08,CirculoZ
0.26,0.04,1.12,11.96,16.48,-9.79,CirculoZ
0.08,0.03,0.95,11.44,15.72,-8.84,CirculoZ
0.05,0.01,0.99,8.39,15.54,-9.99,CirculoZ
-0.01,-0.05,1.02,7.0,15.31,-11.53,CirculoZ
0.13,-0.12,1.08,4.45,14.67,-12.4,CirculoZ
0.04,-0.1,1.11,3.81,14.47,-12.89,CirculoZ
0.04,-0.11,1.04,2.57,14.06,-13.31,Parado
0.08,-0.09,1.0,1.89,13.9,-13.91,Parado
0.08,-0.15,0.94,0.96,13.72,-13.68,Parado
-0.09,-0.14,1.32,0.56,12.5,-15.32,Parado
0.16,-0.18,0.85,1.17,10.17,-13.48,Parado
-0.08,-0.09,1.07,1.29,9.41,-15.04,Parado
0.19,-0.14,1.06,1.38,9.97,-15.1,Parado
-0.16,-0.04,1.02,1.38,13.25,-16.47,Parado
0.08,-0.07,0.83,2.67,11.98,-15.93,Parado
-0.07,-0.02,0.96,2.27,13.43,-16.5,Parado
0.0,-0.07,0.84,2.31,13.71,-17.52,Parado
-0.09,-0.05,1.11,2.23,15.42,-17.88,Parado
-0.02,-0.08,1.01,2.31,14.71,-17.39,Parado
-0.03,-0.04,1.12,2.37,12.97,-17.29,Parado
0.0,-0.02,0.95,2.12,13.17,-16.97,Parado
-0.08,-0.07,1.05,2.56,12.3,-16.84,Parado
0.04,-0.07,0.92,1.72,13.43,-16.7,Parado
-0.13,-0.05,1.07,1.66,11.93,-16.84,Parado
0.04,-0.04,0.93,1.46,11.25,-17.2,Parado
-0.05,-0.02,1.01,1.3,11.3,-16.98,Parado
0.04,-0.06,0.96,1.17,10.68,-17.13,Parado
0.04,-0.07,1.1,0.92,10.57,-17.02,Parado
0.01,-0.06,0.81,1.3,10.12,-16.77,Parado
0.06,-0.06,0.99,0.94,9.64,-16.53,Parado
0.1,-0.08,1.09,1.35,9.19,-16.4,Parado
-0.02,-0.03,0.89,0.52,11.61,-16.26,Parado
-0.04,-0.07,0.98,0.54,9.72,-15.94,Parado
0.01,-0.04,0.88,0.43,9.86,-15.71,Parado
0.02,-0.1,1.16,-0.04,9.89,-15.55,Parado
0.0,-0.03,0.87,-0.55,10.74,-15.46,Parado
0.01,-0.06,0.97,-0.85,10.28,-15.53,Parado
-0.06,-0.06,1.04,-0.47,9.77,-15.1,Parado
0.01,-0.05,0.94,-0.6,9.82,-14.91,Parado
-0.05,-0.06,0.96,-0.79,9.66,-14.76,Parado
0.03,-0.09,1.05,-1.12,7.85,-14.89,Parado
0.1,-0.08,0.96,-1.51,8.58,-14.76,CirculoZ
