AccX,AccY,AccZ,AngX,AngY,AngZ
-0.03,-0.09,0.96,-6.02,1.40,-0.01
-0.04,-0.09,0.99,-6.11,1.40,0.01
-0.02,-0.10,0.97,-6.14,1.59,0.03
-0.02,-0.09,0.95,-6.20,1.65,0.06
-0.02,-0.10,0.96,-6.28,1.57,0.04
-0.03,-0.09,0.96,-6.32,1.68,0.02
-0.03,-0.10,0.96,-6.42,1.63,-0.02
-0.03,-0.10,0.98,-6.49,1.81,0.03
-0.02,-0.09,0.96,-6.55,1.84,0.02
-0.04,-0.08,0.97,-6.65,1.84,0.07
-0.02,-0.09,0.97,-6.87,1.94,0.03
-0.04,-0.13,1.02,-7.66,2.29,-0.13
-0.01,-0.08,0.98,-9.38,2.15,-0.69
0.06,-0.21,1.06,-11.66,0.36,-1.80
-0.02,-0.21,1.22,-11.06,-4.18,-2.35
-0.16,-0.28,1.00,-12.50,2.18,-1.23
0.11,-0.35,1.06,-12.38,5.51,-2.30
-0.04,-0.42,1.48,-11.24,2.83,-2.03
-0.14,-0.17,1.10,-9.13,0.16,-3.41
0.01,-0.13,1.01,-10.22,-0.39,-5.21
-0.03,-0.04,0.97,-9.16,2.73,-5.46
0.09,-0.10,0.73,-7.35,1.51,-5.45
-0.13,-0.06,0.91,-4.74,0.67,-5.73
0.02,-0.06,1.21,-4.30,3.36,-6.29
-0.02,-0.03,0.48,-4.25,4.53,-7.04
-0.17,0.04,0.86,-3.00,2.55,-6.86
-0.16,0.03,1.10,-1.68,3.96,-7.49
0.00,-0.02,0.89,-2.27,5.32,-8.38
-0.12,0.02,0.77,-0.96,5.38,-8.24
-0.05,-0.01,0.80,-1.61,5.08,-8.16
-0.11,0.08,0.91,-1.50,5.62,-7.97
-0.00,0.03,0.54,-1.49,4.98,-8.23
-0.24,0.05,1.09,-1.08,5.12,-8.70
-0.08,-0.03,0.80,-1.59,6.66,-8.79
-0.07,-0.03,1.00,-2.15,7.15,-9.27
-0.09,-0.02,0.64,-1.77,6.25,-9.51
-0.13,-0.03,1.23,-2.89,7.96,-9.95
-0.14,-0.02,0.84,-2.20,8.53,-9.41
-0.12,-0.02,1.12,-2.34,8.54,-9.81
-0.09,-0.03,0.86,-2.08,8.23,-9.54
-0.16,0.01,1.12,-2.13,8.48,-10.00
-0.20,0.04,0.98,-0.67,5.76,-9.45
-0.12,0.02,0.81,-0.64,6.36,-9.52
-0.08,0.02,1.05,-0.20,6.40,-9.45
-0.11,0.02,0.81,-0.72,6.28,-9.23
-0.04,0.02,0.89,-0.73,6.86,-9.05
-0.16,0.04,0.87,-1.17,7.01,-8.95
-0.03,-0.06,1.15,-2.58,7.60,-9.58
-0.07,-0.04,0.92,-2.62,7.07,-9.27
-0.16,-0.02,1.32,-2.26,5.44,-10.17
-0.15,-0.00,1.30,1.82,-0.18,-8.89
0.15,0.04,1.15,6.71,-12.78,-9.12
