AccX,AccY,AccZ,AngX,AngY,AngZ,class
0.03,0.1,0.89,7.33,0.1,0.17,Noise
-0.08,0.13,1.11,8.7,-0.84,0.01,Noise
0.1,0.13,0.85,10.03,-1.31,-0.54,Noise
0.06,0.16,0.95,9.61,-0.08,-1.15,Noise
0.03,0.13,0.85,7.85,1.11,-0.89,Noise
0.01,0.09,1.01,8.16,0.89,-0.48,Noise
0.06,0.09,0.87,8.09,2.68,2.19,Noise
-0.02,0.12,0.94,7.75,2.57,2.87,Noise
0.01,0.08,0.89,6.0,3.91,2.97,Noise
-0.11,0.14,0.91,5.15,1.65,2.49,Noise
-0.01,0.02,1.07,6.93,1.29,2.82,Noise
-0.04,0.05,1.03,9.54,0.47,3.07,Noise
0.02,0.17,0.97,8.73,1.34,3.36,Noise
0.07,0.26,0.87,8.37,0.82,4.0,Noise
-0.0,0.68,1.22,7.08,-0.0,4.01,Noise
0.12,0.79,1.07,7.53,0.73,0.78,VibracaoY
0.18,-0.29,0.92,8.06,3.6,-5.44,VibracaoY
-0.08,-2.11,0.9,6.75,3.85,-4.38,VibracaoY
-0.02,-0.62,0.47,4.56,1.87,4.16,VibracaoY
0.26,1.77,1.49,5.91,-2.04,11.32,VibracaoY
0.4,1.94,1.28,7.17,-0.86,8.56,VibracaoY
0.39,0.14,0.64,8.51,0.9,-1.49,VibracaoY
-0.19,-3.04,0.67,7.57,-1.77,-1.95,VibracaoY
0.1,-0.66,0.57,4.1,-3.86,9.09,VibracaoY
0.57,2.67,1.36,2.84,-6.31,15.65,VibracaoY
0.76,2.11,1.36,4.71,-4.95,7.74,VibracaoY
0.19,-2.27,0.34,3.94,0.1,-4.11,VibracaoY
-0.2,-2.67,0.84,3.62,0.9,5.36,VibracaoY
0.61,2.25,0.86,4.61,-4.84,17.32,VibracaoY
0.9,3.18,1.42,7.43,-4.21,11.51,VibracaoY
0.3,-1.93,1.14,4.05,2.44,-3.45,VibracaoY
-0.38,-3.31,0.77,6.88,0.9,6.59,VibracaoY
0.85,2.33,0.89,4.16,-4.41,19.61,VibracaoY
1.13,3.45,1.23,6.17,-2.88,11.94,VibracaoY
0.2,-2.36,0.99,-0.92,4.14,-3.4,VibracaoY
-0.36,-3.07,1.0,3.87,2.68,7.14,VibracaoY
0.79,2.27,0.66,3.79,-0.28,18.02,VibracaoY
0.95,3.42,1.04,6.42,-0.87,11.9,VibracaoY
0.38,-1.52,1.44,2.49,5.29,-3.42,VibracaoY
-0.39,-3.9,0.88,4.21,4.14,4.4,VibracaoY
